year,region,comp,compcode,place,group,university,score,award,gender
2017,southwest,Quarterfinal,1,3,Texas Songhorns,THE UNIVERSITY OF TEXAS AT AUSTIN,334,0,male
2016,southwest,Quarterfinal,2,3,One Note Stand,THE UNIVERSITY OF TEXAS AT AUSTIN,381,1,coed
2017,central,Quarterfinal,3,3,TBA. Tunes. Beats. Awesome.,UNIVERSITY OF TORONTO,294,2,coed
2016,central,Quarterfinal,4,1,TBA. Tunes. Beats. Awesome.,UNIVERSITY OF TORONTO,436,1,coed
2014,great lakes,Quarterfinal,4,2,TBA. Tunes. Beats. Awesome.,UNIVERSITY OF TORONTO,294,1,coed
2013,great lakes,Quarterfinal,4,2,TBA - Tunes Beats Awesome,UNIVERSITY OF TORONTO,349,2,coed
2012,northeast,Semifinal,1,3,TBA - Tunes Beats Awesome,UNIVERSITY OF TORONTO,343,2,coed
2012,northeast,Quarterfinal,4,2,TBA - Tunes Beats Awesome,UNIVERSITY OF TORONTO,388,1,coed
2010,mid-atlantic,Quarterfinal,3,1,Onoscatopoeia,UNIVERSITY OF TORONTO,368,1,coed
2018,southwest,Quarterfinal,1,3,Infrared,UNIVERSITY OF UTAH,336,2,coed
2017,northwest,Quarterfinal,2,2,Infrared,UNIVERSITY OF UTAH,335,1,coed
2016,northwest,Quarterfinal,3,3,Infrared,UNIVERSITY OF UTAH,307,1,coed
2011,west,Quarterfinal,1,2,Infrared,UNIVERSITY OF UTAH,341,1,coed
2006,south,Quarterfinal,2,3,New Dominions,UNIVERSITY OF VIRGINIA-MAIN CAMPUS,328,1,coed
2019,west,Semifinal,1,2,Furmata A Cappella,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,350,1,coed
2019,west,Quarterfinal,4,1,Furmata A Cappella,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,436,2,coed
2017,northwest,Semifinal,1,1,Furmata A Cappella,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,434,2,coed
2017,northwest,Quarterfinal,3,1,Furmata A Cappella,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,433,2,coed
2016,northwest,Quarterfinal,4,1,Furmata A Cappella,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,403,0,coed
2019,central,Quarterfinal,4,3,Water Boys,UNIVERSITY OF WATERLOO,334,1,male
2019,central,Quarterfinal,4,1,In Full Colour,UNIVERSITY OF WATERLOO,360,1,coed
2018,central,Quarterfinal,4,2,Water Boys,UNIVERSITY OF WATERLOO,290,1,male
2018,central,Quarterfinal,4,3,Unaccompanied Minors,UNIVERSITY OF WATERLOO,283,1,coed
2018,central,Semifinal,1,2,In Full Colour,UNIVERSITY OF WATERLOO,350,1,coed
2018,central,Quarterfinal,4,1,In Full Colour,UNIVERSITY OF WATERLOO,300,1,coed
2017,central,Semifinal,1,1,Water Boys,UNIVERSITY OF WATERLOO,339,2,male
2017,central,Quarterfinal,4,2,Water Boys,UNIVERSITY OF WATERLOO,360,1,male
2016,central,Quarterfinal,4,2,Committee,UNIVERSITY OF WATERLOO,386,1,coed
2016,central,Quarterfinal,1,3,AcaBellas,UNIVERSITY OF WATERLOO,334,0,female
2014,wildcard,Wildcard,1,2,Intentional Accidentals,UNIVERSITY OF WATERLOO,314,0,coed
2014,great lakes,Semifinal,1,3,Intentional Accidentals,UNIVERSITY OF WATERLOO,334,1,coed
2014,great lakes,Quarterfinal,3,2,Intentional Accidentals,UNIVERSITY OF WATERLOO,350,2,coed
2006,midwest,Quarterfinal,4,3,Fifth Element,UNIVERSITY OF WISCONSIN-EAU CLAIRE,359,1,coed
2019,great lakes,Quarterfinal,5,2,Pitches & Notes,UNIVERSITY OF WISCONSIN-MADISON,311,0,female
2019,great lakes,Semifinal,1,2,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,374,2,male
2019,great lakes,Quarterfinal,4,1,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,409,0,male
2018,great lakes,Quarterfinal,1,3,Pitches & Notes,UNIVERSITY OF WISCONSIN-MADISON,335,1,female
2018,great lakes,Quarterfinal,5,2,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,366,2,male
2017,great lakes,Quarterfinal,3,3,Pitches & Notes,UNIVERSITY OF WISCONSIN-MADISON,368,2,female
2017,great lakes,Semifinal,1,3,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,391,1,male
2017,great lakes,Quarterfinal,4,1,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,436,2,male
2016,great lakes,Quarterfinal,4,3,Pitches & Notes,UNIVERSITY OF WISCONSIN-MADISON,329,1,female
2016,great lakes,Semifinal,1,3,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,340,1,male
2016,great lakes,Quarterfinal,5,1,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,424,3,male
2015,midwest,Semifinal,1,2,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,337,1,male
2015,midwest,Quarterfinal,5,2,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,352,1,male
2014,midwest,Quarterfinal,4,1,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,405,0,male
2013,midwest,Semifinal,1,3,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,327,1,male
2013,midwest,Quarterfinal,4,2,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,318,1,male
2011,midwest,Quarterfinal,4,2,Fundamentally Sound,UNIVERSITY OF WISCONSIN-MADISON,347,1,male
2017,northwest,Quarterfinal,2,1,VoiceLine,UTAH VALLEY UNIVERSITY,361,1,male
2019,south,Quarterfinal,3,1,Harmonic Notion,VANDERBILT UNIVERSITY,399,1,coed
2018,south,Quarterfinal,2,3,Harmonic Notion,VANDERBILT UNIVERSITY,336,1,coed
2014,south,Quarterfinal,3,1,Melodores,VANDERBILT UNIVERSITY,413,1,male
2012,south,Quarterfinal,2,2,Melodores,VANDERBILT UNIVERSITY,419,1,male
2011,wildcard,Wildcard,1,1,Melodores,VANDERBILT UNIVERSITY,410,0,male
2011,south,Semifinal,1,2,Melodores,VANDERBILT UNIVERSITY,412,1,male
2011,south,Quarterfinal,2,1,Melodores,VANDERBILT UNIVERSITY,447,1,male
2011,final,Final,1,3,Melodores,VANDERBILT UNIVERSITY,354,1,male
2015,northeast,Semifinal,1,1,Vassar Devils,VASSAR COLLEGE,403,2,coed
2015,northeast,Quarterfinal,5,2,Vassar Devils,VASSAR COLLEGE,396,2,coed
2017,mid-atlantic,Semifinal,1,3,Supernovas,VILLANOVA UNIVERSITY,318,0,coed
2017,mid-atlantic,Quarterfinal,1,1,Supernovas,VILLANOVA UNIVERSITY,373,0,coed
2014,mid-atlantic,Quarterfinal,1,3,Supernovas,VILLANOVA UNIVERSITY,314,1,coed
2019,south,Quarterfinal,2,3,Ramifications,VIRGINIA COMMONWEALTH UNIVERSITY,318,1,coed
2007,south,Quarterfinal,3,1,Sensasians,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,380,2,NA
2007,south,Quarterfinal,3,3,Juxtaposition,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,259,1,male
2016,mid-atlantic,Semifinal,1,2,Vocal Synergy,WAGNER COLLEGE,346,0,female
2016,mid-atlantic,Quarterfinal,5,2,Vocal Synergy,WAGNER COLLEGE,345,1,female
2014,mid-atlantic,Quarterfinal,2,1,Vocal Synergy,WAGNER COLLEGE,382,1,female
2019,midwest,Quarterfinal,1,2,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,330,1,male
2019,midwest,Quarterfinal,2,2,Amateurs,WASHINGTON UNIVERSITY IN ST. LOUIS,372,0,coed
2018,midwest,Quarterfinal,3,3,After Dark,WASHINGTON UNIVERSITY IN ST. LOUIS,256,0,coed
2017,midwest,Semifinal,1,3,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,316,0,male
2017,midwest,Quarterfinal,3,2,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,379,1,male
2017,midwest,Quarterfinal,5,1,Mosaic Whispers,WASHINGTON UNIVERSITY IN ST. LOUIS,355,0,coed
2017,midwest,Quarterfinal,1,1,Amateurs,WASHINGTON UNIVERSITY IN ST. LOUIS,338,1,coed
2016,midwest,Quarterfinal,3,1,Sensasians,WASHINGTON UNIVERSITY IN ST. LOUIS,373,2,coed
2016,midwest,Semifinal,1,1,Mosaic Whispers,WASHINGTON UNIVERSITY IN ST. LOUIS,333,1,coed
2016,midwest,Quarterfinal,5,1,Mosaic Whispers,WASHINGTON UNIVERSITY IN ST. LOUIS,400,1,coed
2015,midwest,Quarterfinal,2,1,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,387,2,male
2015,midwest,Quarterfinal,5,3,Sensasians,WASHINGTON UNIVERSITY IN ST. LOUIS,324,2,coed
2015,midwest,Quarterfinal,2,2,Amateurs,WASHINGTON UNIVERSITY IN ST. LOUIS,348,1,coed
2014,midwest,Semifinal,1,2,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,367,0,male
2014,midwest,Quarterfinal,1,1,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,407,0,male
2012,midwest,Quarterfinal,1,1,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,376,1,male
2011,midwest,Semifinal,1,1,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,384,0,male
2011,midwest,Quarterfinal,3,1,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,408,3,male
2010,wildcard,Wildcard,1,2,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,362,0,male
2010,midwest,Semifinal,1,2,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,372,2,male
2010,midwest,Quarterfinal,4,1,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,374,1,male
2009,midwest,Quarterfinal,3,1,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,424,3,male
2008,midwest,Quarterfinal,4,3,Stereotypes,WASHINGTON UNIVERSITY IN ST. LOUIS,347,0,male
2010,northeast,Quarterfinal,4,1,Tupelos,WELLESLEY COLLEGE,372,0,female
2009,northeast,Quarterfinal,3,3,Tupelos,WELLESLEY COLLEGE,309,0,female
2007,new england,Quarterfinal,4,3,Tupelos,WELLESLEY COLLEGE,366,1,female
2006,northeast,Quarterfinal,4,3,Tupelos,WELLESLEY COLLEGE,320,0,female
2019,mid-atlantic,Quarterfinal,4,1,Under A Rest,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,434,2,coed
2019,mid-atlantic,Quarterfinal,4,2,High Street Harmonix,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,383,2,male
2018,mid-atlantic,Quarterfinal,4,2,Under A Rest,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,399,2,coed
2018,mid-atlantic,Quarterfinal,4,3,High Street Harmonix,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,340,1,male
2017,mid-atlantic,Quarterfinal,1,2,Under A Rest,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,346,2,coed
2016,mid-atlantic,Quarterfinal,3,3,Under A Rest,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,307,2,coed
2015,mid-atlantic,Quarterfinal,1,3,High Street Harmonix,WEST CHESTER UNIVERSITY OF PENNSYLVANIA,302,0,male
2015,west,Quarterfinal,3,3,15 Miles West,WESTERN OREGON UNIVERSITY,340,0,male
2014,west,Quarterfinal,2,1,15 Miles West,WESTERN OREGON UNIVERSITY,396,1,male
2013,west,Quarterfinal,1,2,15 Miles West,WESTERN OREGON UNIVERSITY,359,1,male
2013,west,Quarterfinal,3,3,Undefined,WESTERN WASHINGTON UNIVERSITY,335,0,male
2019,mid-atlantic,Quarterfinal,3,2,Deaftones,RIDER UNIVERSITY,352,0,coed
2015,mid-atlantic,Quarterfinal,4,2,Deaftones,RIDER UNIVERSITY,305,1,coed
2014,mid-atlantic,Quarterfinal,1,1,Deaftones,RIDER UNIVERSITY,402,0,coed
2009,mid-atlantic,Quarterfinal,4,1,Deaftones,RIDER UNIVERSITY,379,1,coed
2007,mid-atlantic,Semifinal,1,3,Deaftones,RIDER UNIVERSITY,311,0,coed
2007,mid-atlantic,Quarterfinal,3,1,Deaftones,RIDER UNIVERSITY,417,1,coed
2014,west,Quarterfinal,2,3,Headband,WILLAMETTE UNIVERSITY,338,1,male
2012,northeast,Semifinal,1,1,Out of the Blue,YALE UNIVERSITY,371,0,coed
2012,northeast,Quarterfinal,2,2,Out of the Blue,YALE UNIVERSITY,384,1,coed
2009,northeast,Semifinal,1,1,Duke’s Men,YALE UNIVERSITY,441,2,male
2009,northeast,Quarterfinal,1,1,Duke’s Men,YALE UNIVERSITY,427,2,male
2006,northeast,Quarterfinal,1,1,Out of the Blue,YALE UNIVERSITY,363,2,coed
2019,central,Quarterfinal,4,2,Wibi,YORK UNIVERSITY,358,1,coed
2006,northeast,Quarterfinal,3,3,Wibi,YORK UNIVERSITY,329,1,coed
2019,southwest,Semifinal,1,2,LEGACY,,353,1,coed
2019,southwest,Quarterfinal,3,1,LEGACY,,441,2,coed
